Time , DC0,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,LINK0,LINK1,LINK2,LINK3,LINK4,LINK5,LINK6,LINK7,LINK8,LINK9,LINK10,LINK11,LINK12,LINK13, 
5,0.000000 ,0.000000 ,3.142857 ,0.347826 ,0.123711 ,0.000000 ,3.272727 ,0.123711 ,0.000000 ,inf ,0.000000 ,inf ,0.000000 ,inf ,0.000000 ,0.000000 ,inf ,0.000000 ,inf ,0.000000 ,0.000000 ,0.000000 ,0.000000 , 
10,inf ,inf ,3.017544 ,4.163265 ,0.597701 ,inf ,0.651163 ,0.597701 ,0.000000 ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,0.000000 ,0.000000 ,inf , 
15,inf ,inf ,2.060606 ,5.302326 ,0.494382 ,inf ,0.651163 ,0.597701 ,0.000000 ,98.000000 ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,0.000000 ,0.000000 ,inf , 
20,inf ,inf ,0.123711 ,0.123711 ,0.000000 ,inf ,0.000000 ,0.000000 ,0.000000 ,0.380952 ,inf ,0.500000 ,inf ,0.439024 ,inf ,inf ,0.439024 ,inf ,0.439024 ,inf ,0.000000 ,0.000000 ,inf , 
25,inf ,inf ,5.523810 ,1.000000 ,0.000000 ,inf ,0.000000 ,0.000000 ,0.000000 ,inf ,10.500000 ,2.347826 ,23.000000 ,0.272727 ,0.272727 ,inf ,0.439024 ,inf ,0.439024 ,inf ,0.000000 ,0.000000 ,inf , 
30,inf ,inf ,inf ,inf ,4.000000 ,inf ,4.163265 ,3.843137 ,0.000000 ,inf ,inf ,inf ,inf ,inf ,0.500000 ,inf ,inf ,inf ,inf ,inf ,0.000000 ,0.000000 ,inf , 
35,inf ,inf ,inf ,inf ,4.333333 ,inf ,4.163265 ,3.843137 ,0.000000 ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,0.000000 ,0.000000 ,inf , 
40,inf ,inf ,inf ,18.222222 ,8.903226 ,inf ,8.903226 ,9.793103 ,0.000000 ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,0.000000 ,0.000000 ,inf , 
45,inf ,inf ,inf ,0.000000 ,10.285714 ,inf ,8.500000 ,9.793103 ,0.000000 ,inf ,inf ,1.571429 ,0.564103 ,inf ,inf ,inf ,inf ,inf ,inf ,inf ,0.000000 ,0.000000 ,inf , 
50,inf ,inf ,inf ,inf ,40.444444 ,inf ,36.000000 ,40.444444 ,0.000000 ,inf ,inf ,inf ,inf ,inf ,1.448276 ,inf ,inf ,inf ,inf ,inf ,0.000000 ,0.000000 ,inf , 
55,inf ,inf ,inf ,inf ,53.142857 ,inf ,29.333333 ,40.444444 ,0.000000 ,inf ,inf ,2.545455 ,inf ,inf ,1.448276 ,inf ,inf ,inf ,inf ,inf ,0.000000 ,0.000000 ,inf , 
