TIME,DC0,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,LINK0,LINK1,LINK10,LINK11,LINK12,LINK13,LINK14,LINK2,LINK3,LINK4,LINK5,LINK6,LINK7,LINK8,LINK9,
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
9,0.000000,2937.721597,2762.527440,1401.424144,1560.171761,0.000000,0.000000,11990.310682,0.000000,5420.604896,2.147951,2.159261,2.157415,2.157415,2.233348,2.283404,2.622238,2.162127,2.216832,2.428289,2.176343,2.176343,2.140784,2.140784,2.324919,
10,0.000000,2850.874374,2747.566573,1357.429715,1547.507705,0.000000,0.000000,11725.441296,0.000000,5484.299050,2.140691,2.152286,2.154909,2.154909,2.228795,2.277645,2.607013,2.168796,2.220620,2.421463,2.169484,2.169484,2.136562,2.136562,2.313345,
11,0.000000,2918.861030,2653.222110,1386.012561,1543.495906,0.000000,0.000000,11918.658457,0.000000,5579.901713,2.143834,2.155295,2.159032,2.159032,2.236922,2.285500,2.614960,2.165365,2.217891,2.423467,2.172370,2.172370,2.138999,2.138999,2.318870,
12,0.000000,2855.916687,2659.985157,1387.184862,1538.692358,0.000000,0.000000,11947.348991,0.000000,5609.666406,2.143258,2.154930,2.155461,2.155461,2.241490,2.287893,2.617252,2.167418,2.220349,2.428115,2.174597,2.174597,2.133587,2.133587,2.315578,
13,0.000000,2899.628863,2641.329428,1389.860962,1536.883936,0.000000,0.000000,11945.898864,0.000000,5615.467386,2.145301,2.156946,2.157181,2.157181,2.239904,2.283323,2.616727,2.166577,2.219635,2.429845,2.175314,2.175314,2.133695,2.133695,2.316325,
14,0.000000,2829.099627,2683.765275,1383.026061,1528.733259,0.000000,0.000000,11879.615056,0.000000,5657.519715,2.145794,2.157575,2.153902,2.153902,2.242456,2.283818,2.610459,2.164225,2.217637,2.425494,2.172167,2.172167,2.133268,2.133268,2.312677,
15,0.000000,2813.816955,2719.236971,1373.657663,1515.676170,0.000000,0.000000,11618.024281,0.000000,5625.899474,2.139833,2.151611,2.149816,2.149816,2.240640,2.277829,2.600631,2.162867,2.215468,2.416268,2.167624,2.167624,2.135063,2.135063,2.309802,
16,0.000000,2834.772219,2695.778697,1380.141642,1510.757653,0.000000,0.000000,11896.142486,0.000000,5828.736052,2.142023,2.154081,2.154650,2.154650,2.246099,2.285367,2.615233,2.162320,2.214766,2.422472,2.174862,2.174862,2.137107,2.137107,2.319496,
17,0.000000,2726.651937,2714.785555,1371.484674,1537.309596,0.000000,0.000000,11685.843268,0.000000,5853.702743,2.139912,2.151811,2.147568,2.147568,2.243568,2.279970,2.600817,2.162242,2.214355,2.414795,2.174516,2.174516,2.132864,2.132864,2.314713,
18,0.000000,2785.452159,2683.394938,1362.057843,1543.353337,0.000000,0.000000,11704.573347,0.000000,5794.564158,2.139034,2.151021,2.150993,2.150993,2.250246,2.281512,2.597551,2.158812,2.211042,2.413178,2.172431,2.172431,2.131480,2.131480,2.311028,
