0:0.0:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], [], [], [], [], [], [], [], [], [], [], [], []]
1:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
2:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
3:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
4:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
5:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
6:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
7:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
8:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
9:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
10:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
11:inf:[0.0, inf, inf, inf, 0.0, 0.0, inf, 0.0, inf, 0.0, inf, inf, inf]:[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]:[[], ['A7'], ['A8'], ['A9', 'A0'], [], [], ['A1', 'A10'], [], ['A3', 'A2', 'A11'], [], ['A4', 'A12'], ['A14', 'A5', 'A13'], ['A6']]
